date,symbol,open,close,low,high,volume
2010-01-04,C,3.36,3.4,3.34,3.41,40679300.0
2010-01-05,C,3.42,3.53,3.41,3.55,66861700.0
2010-01-06,C,3.56,3.64,3.51,3.68,67433800.0
2010-01-07,C,3.69,3.65,3.61,3.7,67245100.0
2010-01-08,C,3.65,3.59,3.51,3.67,62409700.0
2010-01-11,C,3.66,3.63,3.6,3.67,47557600.0
2010-01-12,C,3.59,3.52,3.48,3.61,47011800.0
2010-01-13,C,3.54,3.5,3.5,3.59,41035100.0
2010-01-14,C,3.56,3.51,3.5,3.56,27417000.0
2010-01-15,C,3.49,3.42,3.4,3.5,54017700.0
2010-01-19,C,3.34,3.54,3.3,3.56,80789300.0
2010-01-20,C,3.51,3.46,3.45,3.6,47944900.0
2010-01-21,C,3.45,3.27,3.2,3.46,95968000.0
2010-01-22,C,3.28,3.25,3.22,3.39,65474100.0
2010-01-25,C,3.31,3.23,3.21,3.33,49752400.0
2010-01-26,C,3.22,3.15,3.15,3.27,45890200.0
2010-01-27,C,3.17,3.2,3.14,3.23,55891300.0
2010-01-28,C,3.25,3.24,3.2,3.29,51294200.0
2010-01-29,C,3.27,3.32,3.27,3.34,67942900.0
2010-02-01,C,3.36,3.34,3.31,3.37,23577600.0
2010-02-02,C,3.35,3.41,3.32,3.41,33280800.0
2010-02-03,C,3.39,3.37,3.37,3.46,27200500.0
2010-02-04,C,3.34,3.18,3.17,3.35,45029900.0
2010-02-05,C,3.21,3.22,3.15,3.24,46750100.0
2010-02-08,C,3.23,3.15,3.15,3.24,25620300.0
2010-02-09,C,3.19,3.18,3.11,3.23,49883800.0
2010-02-10,C,3.18,3.2,3.14,3.2,25499600.0
2010-02-11,C,3.19,3.21,3.17,3.22,23685200.0
2010-02-12,C,3.17,3.18,3.15,3.21,18926900.0
2010-02-16,C,3.22,3.31,3.21,3.33,33228500.0
2010-02-17,C,3.38,3.41,3.36,3.45,57569000.0
2010-02-18,C,3.4,3.43,3.39,3.47,28868700.0
2010-02-19,C,3.4,3.42,3.39,3.44,27822200.0
2010-02-22,C,3.44,3.46,3.41,3.48,23360600.0
2010-02-23,C,3.44,3.35,3.35,3.48,28291700.0
2010-02-24,C,3.37,3.45,3.37,3.45,29262200.0
2010-02-25,C,3.39,3.39,3.36,3.4,25996900.0
2010-02-26,C,3.39,3.4,3.38,3.45,17855700.0
2010-03-01,C,3.42,3.39,3.34,3.44,15568600.0
