date,symbol,open,close,low,high,volume
2010-01-04,EBAY,23.719999,23.9,23.619999,23.979998,22511600.0
2010-01-05,EBAY,23.79,23.65,23.5,23.9,26683100.0
2010-01-06,EBAY,23.629998,23.5,23.44,23.8,26368600.0
2010-01-07,EBAY,23.49,23.229998,23.169999,23.49,25220000.0
2010-01-08,EBAY,23.19,23.509999,23.1,23.64,30484000.0
2010-01-11,EBAY,23.529998,23.45,23.25,23.75,18331000.0
2010-01-12,EBAY,23.39,23.19,22.959999,23.44,25572100.0
2010-01-13,EBAY,23.329998,23.6,23.109999,23.629998,24620500.0
2010-01-14,EBAY,23.5,22.88,22.849999,23.5,42094100.0
2010-01-15,EBAY,22.99,22.469998,22.119998,23.059999,64256300.0
2010-01-19,EBAY,22.28,23.259999,22.28,23.39,49852900.0
2010-01-20,EBAY,23.19,22.23,22.18,23.19,92230600.0
2010-01-21,EBAY,23.909999,24.129998,23.65,24.559999,155599700.0
2010-01-22,EBAY,24.0,23.579998,23.219999,24.179998,57422900.0
2010-01-25,EBAY,23.709999,23.69,23.359999,23.89,43646100.0
2010-01-26,EBAY,23.529998,24.069999,23.469999,24.359999,54598300.0
2010-01-27,EBAY,23.809999,23.969999,23.629998,24.25,49443100.0
2010-01-28,EBAY,24.0,23.329998,23.079998,24.079998,48289300.0
2010-01-29,EBAY,23.45,23.019999,22.869999,24.0,53646900.0
2010-02-01,EBAY,22.909999,23.169999,22.899999,23.379998,26327500.0
2010-02-02,EBAY,23.05,23.079998,22.919999,23.329998,28234900.0
2010-02-03,EBAY,22.969999,23.229998,22.88,23.309999,34180600.0
2010-02-04,EBAY,22.95,22.449999,22.399999,23.29,46628000.0
2010-02-05,EBAY,22.419998,22.709999,22.24,22.79,37072700.0
2010-02-08,EBAY,22.73,22.49,22.449999,22.95,20112600.0
2010-02-09,EBAY,22.769999,22.369998,22.24,22.899999,28657400.0
2010-02-10,EBAY,22.309999,21.959999,21.749999,22.39,37093100.0
2010-02-11,EBAY,21.809999,22.13,21.54,22.19,30785500.0
2010-02-12,EBAY,21.749999,21.769998,21.509999,22.049999,42511600.0
2010-02-16,EBAY,21.99,22.519998,21.99,22.53,34442000.0
2010-02-17,EBAY,22.509999,22.68,22.369998,22.749999,28001600.0
2010-02-18,EBAY,22.849999,22.84,22.519998,22.89,21359000.0
2010-02-19,EBAY,22.909999,23.419999,22.459999,23.49,46963500.0
2010-02-22,EBAY,23.419999,23.279998,23.069999,23.5,34242400.0
2010-02-23,EBAY,23.15,22.89,22.69,23.2,24659700.0
2010-02-24,EBAY,23.09,23.259999,22.899999,23.39,24076900.0
2010-02-25,EBAY,23.0,23.0,22.569998,23.029998,38203900.0
2010-02-26,EBAY,22.969999,23.019999,22.619999,23.05,37546900.0
2010-03-01,EBAY,23.119999,23.879998,22.959999,23.929998,44650500.0
2010-03-02,EBAY,23.809999,23.99,23.8,24.119999,36125100.0
2010-03-03,EBAY,23.579998,23.509999,23.35,23.94,35194200.0
2010-03-04,EBAY,23.009999,23.779998,22.959999,23.8,28079500.0
2010-03-05,EBAY,23.8,24.629999,23.8,24.95,55289700.0
2010-03-08,EBAY,24.429999,24.839998,24.4,24.939998,26778200.0
2010-03-09,EBAY,24.66,25.51,24.65,25.729999,51349800.0
2010-03-10,EBAY,25.46,25.56,25.319999,25.81,32503900.0
