date,symbol,open,close,low,high,volume
2010-01-04,INTC,20.790001,20.879999,20.73,21.030001,47800900.0
2010-01-05,INTC,20.940001,20.870001,20.6,20.99,52357700.0
2010-01-06,INTC,20.809999,20.799999,20.67,20.93,40037400.0
2010-01-07,INTC,20.73,20.6,20.34,20.76,54041500.0
2010-01-08,INTC,20.540001,20.83,20.4,20.889999,48234700.0
2010-01-11,INTC,21.110001,20.950001,20.82,21.15,51086400.0
2010-01-12,INTC,20.870001,20.610001,20.379999,20.9,69958400.0
2010-01-13,INTC,20.719999,20.959999,20.440001,21.08,71446700.0
2010-01-14,INTC,21.110001,21.48,21.049999,21.549999,150821600.0
2010-01-15,INTC,21.389999,20.799999,20.77,21.4,198078600.0
2010-01-19,INTC,20.9,21.049999,20.85,21.17,82573500.0
2010-01-20,INTC,20.99,21.08,20.85,21.139999,65670100.0
2010-01-21,INTC,21.15,20.84,20.68,21.309999,73633300.0
2010-01-22,INTC,20.77,19.91,19.809999,20.790001,116302400.0
2010-01-25,INTC,20.24,20.32,20.139999,20.58,73785600.0
2010-01-26,INTC,20.18,20.0,19.950001,20.379999,65298900.0
2010-01-27,INTC,20.0,20.24,19.82,20.33,74926200.0
2010-01-28,INTC,20.299999,19.92,19.68,20.389999,76974600.0
2010-01-29,INTC,20.129999,19.4,19.299999,20.23,96053900.0
2010-02-01,INTC,19.469999,19.610001,19.440001,19.75,50338300.0
2010-02-02,INTC,19.68,19.91,19.559999,20.040001,63332500.0
2010-02-03,INTC,19.780001,19.68,19.469999,19.879999,45582300.0
2010-02-04,INTC,19.57,19.02,18.950001,19.58,90931100.0
2010-02-05,INTC,19.1,19.469999,19.0,19.58,88711700.0
2010-02-08,INTC,19.48,19.35,19.299999,19.790001,62563200.0
2010-02-09,INTC,19.639999,19.65,19.440001,19.889999,69454100.0
2010-02-10,INTC,19.59,19.690001,19.450001,19.870001,56250600.0
2010-02-11,INTC,19.629999,20.059999,19.549999,20.200001,58837300.0
2010-02-12,INTC,19.959999,20.43,19.790001,20.68,91108900.0
2010-02-16,INTC,20.620001,20.719999,20.549999,20.85,69083400.0
2010-02-17,INTC,20.860001,20.66,20.530001,20.860001,47296700.0
2010-02-18,INTC,20.639999,20.84,20.549999,20.85,42613600.0
2010-02-19,INTC,20.719999,20.82,20.58,20.969999,40760000.0
2010-02-22,INTC,20.950001,20.870001,20.65,20.959999,38730600.0
2010-02-23,INTC,20.84,20.389999,20.290001,20.950001,62245300.0
2010-02-24,INTC,20.52,20.700001,20.5,20.809999,51070100.0
2010-02-25,INTC,20.370001,20.629999,20.219999,20.66,48789400.0
2010-02-26,INTC,20.6,20.530001,20.43,20.68,47795300.0
2010-03-01,INTC,20.68,20.870001,20.620001,20.940001,51203300.0
2010-03-02,INTC,20.99,20.700001,20.58,21.09,59399000.0
2010-03-03,INTC,20.76,20.52,20.440001,20.82,49909900.0
