date,symbol,open,close,low,high,volume
2010-01-04,MU,10.82,10.85,10.78,11.04,34412700.0
2010-01-05,MU,10.86,11.17,10.63,11.29,60659000.0
2010-01-06,MU,11.08,11.22,10.99,11.34,32060400.0
2010-01-07,MU,11.23,10.84,10.56,11.25,46461800.0
2010-01-08,MU,10.75,11.1,10.62,11.17,32433400.0
2010-01-11,MU,11.25,10.9,10.82,11.32,29135200.0
2010-01-12,MU,10.65,10.26,10.14,10.66,46116000.0
2010-01-13,MU,10.31,10.46,9.97,10.56,33519600.0
2010-01-14,MU,10.43,10.73,10.43,10.95,33723700.0
2010-01-15,MU,10.7,10.13,10.04,10.7,30994100.0
2010-01-19,MU,10.14,10.28,10.04,10.3,18545400.0
2010-01-20,MU,10.0,9.98,9.73,10.07,42195400.0
2010-01-21,MU,10.07,9.8,9.76,10.24,38274500.0
2010-01-22,MU,9.7,9.13,9.09,9.71,44447500.0
2010-01-25,MU,9.28,9.33,9.17,9.42,23995600.0
2010-01-26,MU,9.36,9.44,9.27,9.74,25159600.0
2010-01-27,MU,9.48,9.72,9.35,9.74,21637400.0
2010-01-28,MU,9.73,9.4,9.1,9.75,32249900.0
2010-01-29,MU,9.45,8.72,8.57,9.5,42655600.0
2010-02-01,MU,8.84,9.17,8.84,9.2,19407600.0
2010-02-02,MU,9.27,9.35,9.25,9.5,21667700.0
2010-02-03,MU,9.16,9.02,8.93,9.32,25361500.0
2010-02-04,MU,9.11,8.61,8.55,9.18,26692400.0
2010-02-05,MU,8.63,8.7,8.27,8.71,36413100.0
2010-02-08,MU,8.77,8.91,8.59,9.05,20271500.0
2010-02-09,MU,9.17,9.08,8.84,9.28,20847800.0
2010-02-10,MU,8.61,8.54,8.18,8.73,70622100.0
2010-02-11,MU,8.57,8.53,8.42,8.78,50941600.0
2010-02-12,MU,8.42,8.44,8.32,8.74,44233500.0
2010-02-16,MU,8.64,8.63,8.49,8.71,25227300.0
2010-02-17,MU,8.79,8.73,8.56,8.79,18426500.0
2010-02-18,MU,8.65,8.76,8.59,8.77,22489100.0
2010-02-19,MU,8.77,8.9,8.66,9.14,28672300.0
2010-02-22,MU,9.07,8.94,8.91,9.11,16121600.0
2010-02-23,MU,8.83,8.61,8.42,8.83,28626100.0
2010-02-24,MU,8.7,9.09,8.64,9.23,34303400.0
2010-02-25,MU,8.87,9.07,8.72,9.09,20920800.0
2010-02-26,MU,9.08,9.06,8.87,9.15,20385500.0
2010-03-01,MU,9.24,9.77,9.2,9.79,39158600.0
2010-03-02,MU,9.54,9.57,9.51,9.74,40226300.0
2010-03-03,MU,9.58,9.45,9.39,9.7,25133700.0
2010-03-04,MU,9.41,9.41,9.17,9.43,19757600.0
2010-03-05,MU,9.56,9.46,9.32,9.58,15691200.0
2010-03-08,MU,9.48,9.59,9.36,9.65,26708500.0
2010-03-09,MU,9.46,9.41,9.34,9.6,33738200.0
2010-03-10,MU,9.63,9.87,9.57,9.96,39335100.0
2010-03-11,MU,9.85,9.8,9.62,9.9,20021700.0
2010-03-12,MU,10.08,9.97,9.7,10.25,33689400.0
2010-03-15,MU,9.92,9.73,9.6,9.94,25969100.0
2010-03-16,MU,9.85,10.21,9.8,10.24,24369500.0
2010-03-17,MU,10.33,10.4,10.23,10.51,26403900.0
2010-03-18,MU,10.3,10.16,10.05,10.4,20228500.0
2010-03-19,MU,10.27,9.95,9.95,10.27,19780300.0
2010-03-22,MU,9.83,10.33,9.75,10.36,19351100.0
2010-03-23,MU,10.4,10.54,10.34,10.57,22122400.0
2010-03-24,MU,10.62,10.43,10.37,10.63,18182900.0
2010-03-25,MU,10.67,10.38,10.35,10.79,24965500.0
2010-03-26,MU,10.54,10.49,10.26,10.73,25900400.0
2010-03-29,MU,10.66,10.63,10.58,10.79,22226000.0
2010-03-30,MU,10.72,10.79,10.67,10.9,37351400.0
2010-03-31,MU,10.72,10.37,10.36,10.75,38781500.0
2010-04-01,MU,11.03,10.17,10.11,11.05,127588500.0
2010-04-05,MU,10.37,10.6,10.25,10.64,52480400.0
2010-04-06,MU,10.63,10.23,10.21,10.64,42605400.0
2010-04-07,MU,10.23,10.56,10.13,10.65,44194700.0
2010-04-08,MU,10.53,10.58,10.37,10.68,33101100.0
2010-04-09,MU,10.71,10.73,10.65,10.82,24270800.0
2010-04-12,MU,10.75,10.82,10.58,10.95,37146600.0
2010-04-13,MU,10.79,10.76,10.63,10.85,28036500.0
2010-04-14,MU,11.05,11.3,10.99,11.4,49938700.0
2010-04-15,MU,11.21,11.18,11.12,11.38,29166900.0
2010-04-16,MU,11.09,10.92,10.69,11.1,36300600.0
2010-04-19,MU,10.81,10.79,10.48,11.0,26286700.0
2010-04-20,MU,10.87,10.75,10.67,10.97,24288400.0
2010-04-21,MU,10.94,10.74,10.55,11.08,38628600.0
2010-04-22,MU,10.61,10.93,10.41,11.01,31721200.0
2010-04-23,MU,10.98,11.0,10.75,11.01,25333300.0
2010-04-26,MU,10.97,10.97,10.88,11.03,17543000.0
2010-04-27,MU,10.84,10.34,10.28,10.85,32056800.0
2010-04-28,MU,10.42,10.24,9.72,10.48,66819300.0
2010-04-29,MU,10.41,10.21,10.05,10.41,23934600.0
2010-04-30,MU,10.14,9.35,9.33,10.15,52942300.0
2010-05-03,MU,9.42,9.89,9.42,9.94,49168500.0
2010-05-04,MU,9.65,9.52,9.31,9.67,50180800.0
