date,symbol,open,close,low,high,volume
2010-01-04,WMT,53.740002,54.23,53.669998,54.669998,20753100.0
2010-01-05,WMT,54.09,53.689999,53.57,54.189999,15648400.0
2010-01-06,WMT,53.5,53.57,53.419998,53.830002,12517200.0
2010-01-07,WMT,53.720001,53.599998,53.259998,53.75,10662700.0
2010-01-08,WMT,53.43,53.330002,53.02,53.529999,11363200.0
2010-01-11,WMT,53.330002,54.209999,53.099998,54.439999,13987700.0
2010-01-12,WMT,54.0,54.73,53.860001,54.75,15117000.0
2010-01-13,WMT,54.790001,55.009998,54.41,55.200001,13290700.0
2010-01-14,WMT,54.73,54.209999,54.16,54.84,13772000.0
2010-01-15,WMT,54.34,53.68,53.599998,54.549999,19087500.0
2010-01-19,WMT,53.91,54.029999,53.5,54.259998,14618500.0
2010-01-20,WMT,53.919998,53.860001,53.23,53.939999,13308600.0
2010-01-21,WMT,54.07,52.919998,52.84,54.07,16028700.0
2010-01-22,WMT,52.959999,52.939999,52.689999,53.470001,19415900.0
2010-01-25,WMT,53.139999,52.880001,52.779999,53.220001,12003300.0
2010-01-26,WMT,52.82,53.610001,52.73,53.860001,15584000.0
2010-01-27,WMT,53.52,53.400002,53.099998,53.77,13192100.0
2010-01-28,WMT,53.380001,52.610001,52.509998,53.450001,16960100.0
2010-01-29,WMT,53.68,53.43,53.400002,54.150002,24280800.0
2010-02-01,WMT,53.619999,53.48,53.310001,53.779999,11019500.0
2010-02-02,WMT,53.59,53.490002,53.330002,53.720001,11387900.0
2010-02-03,WMT,53.73,54.27,53.639999,54.5,17988900.0
2010-02-04,WMT,53.880001,52.970001,52.959999,54.299999,21029900.0
2010-02-05,WMT,52.77,53.450001,52.759998,53.529999,15545800.0
2010-02-08,WMT,53.380001,52.93,52.919998,53.540001,10505900.0
2010-02-09,WMT,53.209999,53.25,52.82,53.619999,10825000.0
2010-02-10,WMT,53.27,53.240002,52.959999,53.5,9408400.0
2010-02-11,WMT,53.130001,53.080002,52.91,53.450001,11579600.0
2010-02-12,WMT,53.110001,52.900002,52.66,53.110001,17038400.0
2010-02-16,WMT,53.240002,53.560001,52.900002,53.720001,15771200.0
2010-02-17,WMT,53.689999,54.060001,53.650002,54.25,15534200.0
2010-02-18,WMT,53.200001,53.470001,52.91,53.5,29457500.0
2010-02-19,WMT,53.189999,53.490002,53.07,53.580002,15090400.0
2010-02-22,WMT,53.52,53.830002,53.34,53.919998,12097200.0
2010-02-23,WMT,53.75,53.619999,53.450001,54.080002,14138000.0
2010-02-24,WMT,53.740002,53.919998,53.48,53.950001,10624200.0
2010-02-25,WMT,53.459999,54.150002,53.25,54.279999,13510100.0
2010-02-26,WMT,54.220001,54.07,53.5,54.240002,15952900.0
2010-03-01,WMT,54.040001,53.900002,53.540001,54.130001,12128700.0
2010-03-02,WMT,53.830002,53.59,53.470001,53.889999,14081700.0
2010-03-03,WMT,53.349998,53.66,53.150002,53.75,11631200.0
2010-03-04,WMT,54.02,53.959999,53.75,54.09,11211800.0
2010-03-05,WMT,53.970001,54.139999,53.5,54.169998,11375100.0
2010-03-08,WMT,54.009998,54.150002,53.93,54.279999,7556700.0
2010-03-09,WMT,54.119999,54.060001,53.919998,54.5,12584600.0
2010-03-10,WMT,53.669998,53.630001,53.529999,54.02,12697000.0
2010-03-11,WMT,53.639999,53.970001,53.529999,53.990002,10673900.0
2010-03-12,WMT,54.16,53.900002,53.790001,54.240002,10477900.0
2010-03-15,WMT,54.389999,55.419998,54.349998,55.540001,24373900.0
2010-03-16,WMT,55.880001,55.990002,55.599998,56.27,18453000.0
2010-03-17,WMT,56.049999,55.919998,55.66,56.130001,12495200.0
2010-03-18,WMT,55.889999,55.939999,55.540001,55.950001,9472200.0
2010-03-19,WMT,55.34,55.34,55.150002,56.27,17184100.0
2010-03-22,WMT,55.310001,55.619999,55.130001,55.939999,9874100.0
2010-03-23,WMT,55.630001,55.889999,55.610001,56.0,9369300.0
2010-03-24,WMT,55.73,55.580002,55.43,56.0,8698900.0
2010-03-25,WMT,55.630001,55.610001,55.599998,55.990002,9793100.0
2010-03-26,WMT,55.610001,55.509998,55.470001,55.959999,9947300.0
2010-03-29,WMT,55.5,55.740002,55.43,55.75,9776500.0
2010-03-30,WMT,55.779999,55.91,55.66,56.049999,6941300.0
2010-03-31,WMT,55.810001,55.599998,55.5,55.900002,9966900.0
2010-04-01,WMT,55.75,55.490002,55.169998,55.849998,11788100.0
2010-04-05,WMT,55.700001,55.490002,55.220001,55.73,10748800.0
2010-04-06,WMT,55.439999,55.529999,55.290001,55.630001,9567200.0
2010-04-07,WMT,55.5,55.279999,55.139999,55.900002,12935200.0
2010-04-08,WMT,55.290001,55.380001,55.16,55.700001,11139700.0
2010-04-09,WMT,55.380001,55.07,54.630001,55.380001,12535100.0
2010-04-12,WMT,55.02,55.02,54.580002,55.099998,11954300.0
2010-04-13,WMT,54.91,54.720001,54.66,55.209999,12851100.0
2010-04-14,WMT,54.630001,54.639999,54.34,54.91,14686900.0
2010-04-15,WMT,54.150002,54.130001,53.919998,54.360001,17659300.0
2010-04-16,WMT,54.110001,54.110001,53.84,54.59,19232000.0
2010-04-19,WMT,54.0,54.389999,54.0,54.48,11315600.0
2010-04-20,WMT,54.490002,54.52,54.380001,54.82,9092300.0
2010-04-21,WMT,54.439999,54.470001,54.18,54.57,11499300.0
2010-04-22,WMT,54.369999,54.490002,54.150002,54.650002,10921200.0
2010-04-23,WMT,54.470001,54.529999,53.919998,54.610001,16595800.0
2010-04-26,WMT,54.529999,54.040001,54.009998,54.700001,14751000.0
2010-04-27,WMT,53.599998,54.040001,53.529999,54.419998,19174600.0
2010-04-28,WMT,53.919998,53.610001,53.52,54.099998,14904200.0
2010-04-29,WMT,53.66,53.700001,53.549999,54.23,13320000.0
2010-04-30,WMT,53.82,53.639999,53.639999,54.150002,16279400.0
2010-05-03,WMT,53.880001,53.740002,53.470001,53.950001,12301000.0
2010-05-04,WMT,53.59,54.02,53.549999,54.57,18670900.0
2010-05-05,WMT,54.110001,54.77,53.82,54.950001,16609900.0
2010-05-06,WMT,54.349998,53.23,51.529999,54.779999,24067500.0
2010-05-07,WMT,53.040001,52.400002,51.799999,53.619999,28945100.0
2010-05-10,WMT,53.060001,52.580002,51.830002,53.240002,27090300.0
2010-05-11,WMT,52.349998,52.459999,52.169998,52.77,19623300.0
2010-05-12,WMT,52.5,52.48,52.130001,52.560001,13610100.0
2010-05-13,WMT,52.630001,52.400002,52.360001,52.970001,12458000.0
2010-05-14,WMT,52.41,52.119999,52.02,52.700001,18648300.0
2010-05-17,WMT,52.41,52.73,52.040001,52.919998,16945400.0
2010-05-18,WMT,53.32,53.709999,53.200001,54.450001,32227700.0
2010-05-19,WMT,53.529999,53.040001,52.790001,53.759998,20418700.0
2010-05-20,WMT,52.369999,51.299999,51.299999,52.959999,27256000.0
2010-05-21,WMT,50.73,51.369999,50.509998,51.369999,24548600.0
2010-05-24,WMT,51.040001,51.0,50.900002,51.540001,13557800.0
2010-05-25,WMT,50.25,50.279999,50.0,50.5,24062400.0
2010-05-26,WMT,50.360001,50.02,50.009998,50.599998,19078100.0
2010-05-27,WMT,50.52,50.700001,50.32,50.73,13980400.0
2010-05-28,WMT,50.75,50.560001,50.5,50.93,14019500.0
2010-06-01,WMT,50.799999,50.919998,50.52,51.509998,16053600.0
2010-06-02,WMT,51.23,51.720001,51.02,51.740002,13665800.0
2010-06-03,WMT,51.73,51.720001,51.48,52.080002,10509100.0
2010-06-04,WMT,51.41,50.400002,50.220001,51.700001,24041900.0
2010-06-07,WMT,50.459999,50.740002,50.32,51.369999,19500600.0
2010-06-08,WMT,50.790001,50.779999,50.529999,50.98,20315500.0
2010-06-09,WMT,50.959999,50.990002,50.59,51.360001,16530900.0
2010-06-10,WMT,51.209999,51.220001,51.060001,51.68,15850500.0
2010-06-11,WMT,50.970001,50.860001,50.549999,51.27,14027400.0
