entry_time,exit_time,symbol,entry_price,exit_price,size,pnl,exit_reason,entry_pred,exit_pred
2010-03-31,2010-04-01,BAC,17.85,18.040001,56.02240896358543,10.543249294117576,time_exit,,
2010-04-01,2010-04-05,BAC,18.040001,18.129999,55.43236943279548,4.888303503974381,time_exit,,
2010-04-05,2010-04-06,BAC,18.129999,18.49,55.15720105665753,19.754661872843837,time_exit,,
2010-04-06,2010-04-07,BAC,18.49,18.620001,54.08328826392645,6.930178469442944,time_exit,,
2010-04-07,2010-04-08,BAC,18.620001,18.65,53.705689919135885,1.5109558801849747,time_exit,,
2010-04-08,2010-04-09,BAC,18.65,18.59,53.61930294906167,-3.3168364611259373,time_exit,,
2010-04-09,2010-04-12,BAC,18.59,18.66,53.79236148466918,3.665088757396465,time_exit,,
2010-04-12,2010-04-13,BAC,18.66,18.67,53.59056806002143,0.43585209003223807,time_exit,,
2010-04-13,2010-04-14,BAC,18.67,19.4,53.56186395286556,38.99625066952313,time_exit,,
2010-04-14,2010-04-15,BAC,19.4,19.48,51.54639175257732,4.02329896907226,time_exit,,
2010-04-15,2010-04-16,BAC,19.48,18.41,51.3347022587269,-55.022638603696116,stop_loss,,
2010-04-16,2010-04-19,BAC,18.41,18.389999,54.31830526887561,-1.1863117816404456,time_exit,,
2010-04-19,2010-04-20,BAC,18.389999,18.610001,54.37738196723121,11.861936474276094,time_exit,,
2010-04-20,2010-04-21,BAC,18.610001,18.280001,53.73454842909466,-17.83062774150318,time_exit,,
2010-04-21,2010-04-22,BAC,18.280001,18.540001,54.70459219340306,14.121771650887851,time_exit,,
2010-04-22,2010-04-23,BAC,18.540001,18.43,53.9374296689628,-6.032577883895501,time_exit,,
2010-04-23,2010-04-26,BAC,18.43,18.049999,54.25935973955507,-20.716549099294628,stop_loss,,
2010-04-26,2010-04-27,BAC,18.049999,17.469999,55.40166511920582,-32.22975247256237,stop_loss,,
2010-04-27,2010-04-28,BAC,17.469999,17.780001,57.24098782146467,17.64304622455887,time_exit,,
2010-04-28,2010-04-29,BAC,17.780001,18.299999,56.24296646552495,29.14330545313249,time_exit,,0.0018977128202095628
2010-05-03,2010-05-04,BAC,18.059999,17.559999,55.370988669489954,-27.782725785311502,stop_loss,-0.044262323528528214,-0.06903044879436493
2010-05-04,2010-05-05,BAC,17.559999,17.530001,56.94761144348584,-1.80814361663703,time_exit,-0.06903044879436493,-0.02844933420419693
2010-05-05,2010-05-06,BAC,17.530001,16.280001,57.04506234768612,-71.39919730181418,stop_loss,-0.02844933420419693,-0.07679568976163864
2010-05-06,2010-05-07,BAC,16.280001,16.18,61.42505765202349,-6.241952933540907,time_exit,-0.07679568976163864,-0.12684190273284912
2010-05-07,2010-05-10,BAC,16.18,17.299999,61.804697156983934,69.11427689122374,take_profit,-0.12684190273284912,0.016019081696867943
2010-05-10,2010-05-11,BAC,17.299999,17.16,57.803471549333615,-8.191618970613787,time_exit,0.016019081696867943,-0.012221082113683224
2010-05-11,2010-05-12,BAC,17.16,17.07,58.27505827505828,-5.344230769230761,time_exit,-0.012221082113683224,-0.07277102768421173
