entry_time,exit_time,symbol,entry_price,exit_price,size,pnl,exit_reason,entry_pred,exit_pred
2010-03-31,2010-04-01,YHOO,16.530001,16.290001,60.4960640958219,-14.61760347745886,time_exit,,
2010-04-01,2010-04-05,YHOO,16.290001,16.51,61.38735043662674,13.40380519313666,time_exit,,
2010-04-05,2010-04-06,YHOO,16.51,16.92,60.56935190793458,24.73095093882496,time_exit,,
2010-04-06,2010-04-07,YHOO,16.92,16.870001,59.10165484633569,-3.054728138298063,time_exit,,
2010-04-07,2010-04-08,YHOO,16.870001,17.35,59.27681924855844,28.34996868109273,time_exit,,
2010-04-08,2010-04-09,YHOO,17.35,17.52,57.63688760806916,9.697291066282315,time_exit,,
2010-04-09,2010-04-12,YHOO,17.52,17.639999,57.077625570776256,6.748573065068491,time_exit,,
2010-04-12,2010-04-13,YHOO,17.639999,18.18,56.68934561730985,30.509242092360676,time_exit,,
2010-04-13,2010-04-14,YHOO,18.18,18.379999,55.005500550055004,10.8999450000001,time_exit,,
2010-04-14,2010-04-15,YHOO,18.379999,18.969999,54.4069670515216,31.9969005493417,time_exit,,
2010-04-15,2010-04-16,YHOO,18.969999,18.17,52.71481564126598,-42.26758261821731,stop_loss,,
2010-04-16,2010-04-19,YHOO,18.17,18.389999,55.03577325261419,12.00660429829377,time_exit,,
2010-04-19,2010-04-20,YHOO,18.389999,18.379999,54.37738196723121,-0.6437194422902367,time_exit,,
2010-04-20,2010-04-21,YHOO,18.379999,17.450001,54.4069670515216,-50.69331070692665,stop_loss,,
2010-04-21,2010-04-22,YHOO,17.450001,17.719999,57.306586973834555,15.371116603374468,time_exit,,
2010-04-22,2010-04-23,YHOO,17.719999,17.639999,56.43341176260788,-4.614221473714634,time_exit,,
2010-04-23,2010-04-26,YHOO,17.639999,17.389999,56.68934561730985,-14.270919170687028,time_exit,,
2010-04-26,2010-04-27,YHOO,17.389999,16.92,57.50431613020795,-27.124268379773792,stop_loss,,
2010-04-27,2010-04-28,YHOO,16.92,16.75,59.10165484633569,-10.14627659574478,time_exit,,
2010-04-28,2010-04-29,YHOO,16.75,16.969999,59.701492537313435,13.03295522985083,time_exit,,-0.16811522841453552
2010-04-29,2010-04-30,YHOO,16.969999,16.530001,58.92752262389644,-26.025399300259398,stop_loss,-0.16811522841453552,-0.19394439458847046
2010-04-30,2010-05-03,YHOO,16.530001,16.950001,60.4960640958219,25.305806085553275,time_exit,-0.19394439458847046,-0.16365250945091248
2010-05-03,2010-05-04,YHOO,16.950001,16.32,58.9970466668409,-37.26448157731672,stop_loss,-0.16365250945091248,-0.10940159857273102
2010-05-04,2010-05-05,YHOO,16.32,16.49,61.27450980392157,10.315624999999887,time_exit,-0.10940159857273102,-0.1265464425086975
2010-05-05,2010-05-06,YHOO,16.49,15.92,60.64281382656156,-34.66294724075188,stop_loss,-0.1265464425086975,-0.10879381000995636
2010-05-06,2010-05-07,YHOO,15.92,15.29,62.814070351758794,-39.66890703517593,stop_loss,-0.10879381000995636,-0.14803889393806458
2010-05-07,2010-05-10,YHOO,15.29,16.33,65.40222367560497,67.91151079136685,take_profit,-0.14803889393806458,-0.05321865156292915
2010-05-10,2010-05-11,YHOO,16.33,16.41,61.236987140232706,4.7984690753216075,time_exit,-0.05321865156292915,-0.0660407766699791
2010-05-11,2010-05-12,YHOO,16.41,16.469999,60.93845216331505,3.555880566727681,time_exit,-0.0660407766699791,-0.08872395008802414
